,home_loc,school_loc,home_latlng,school_latlng,home_lat,home_lng,school_lat,school_lng
15,"Roswell, GA ","Clemson, South Carolina","[34.0232431, -84.3615555]","[34.6834382, -82.8373654]",34.0232431,-84.3615555,34.6834382,-82.8373654
16,"Greenville, NC ","Clemson, South Carolina","[35.612661, -77.3663538]","[34.6834382, -82.8373654]",35.612661,-77.3663538,34.6834382,-82.8373654
17,"Spartanburg, SC ","Clemson, South Carolina","[34.9495672, -81.9320482]","[34.6834382, -82.8373654]",34.9495672,-81.9320482,34.6834382,-82.8373654
18,"Plant City, FL ","Clemson, South Carolina","[28.0186323, -82.1128641]","[34.6834382, -82.8373654]",28.0186323,-82.1128641,34.6834382,-82.8373654
19,"Coconut Creek, FL ","Clemson, South Carolina","[26.2517482, -80.17893509999999]","[34.6834382, -82.8373654]",26.2517482,-80.1789351,34.6834382,-82.8373654
20,"Wichita, KS ","Clemson, South Carolina","[37.68717609999999, -97.33005299999999]","[34.6834382, -82.8373654]",37.6871761,-97.330053,34.6834382,-82.8373654
21,"Southern Pines, NC ","Clemson, South Carolina","[35.1740471, -79.3922539]","[34.6834382, -82.8373654]",35.1740471,-79.3922539,34.6834382,-82.8373654
22,"Seabrook, SC ","Clemson, South Carolina","[32.5279652, -80.7664952]","[34.6834382, -82.8373654]",32.5279652,-80.7664952,34.6834382,-82.8373654
23,"Jonesboro, GA ","Clemson, South Carolina","[33.5215013, -84.3538128]","[34.6834382, -82.8373654]",33.5215013,-84.3538128,34.6834382,-82.8373654
24,"Greensboro, NC","Clemson, South Carolina","[36.0726354, -79.7919754]","[34.6834382, -82.8373654]",36.0726354,-79.7919754,34.6834382,-82.8373654
25,"Bradenton, FL ","Oxford, Mississippi","[27.4989278, -82.5748194]","[34.3664951, -89.5192484]",27.4989278,-82.5748194,34.3664951,-89.5192484
26,"Allen, TX ","Oxford, Mississippi","[33.1031744, -96.67055030000002]","[34.3664951, -89.5192484]",33.1031744,-96.6705503,34.3664951,-89.5192484
27,"Waynesboro, MS ","Oxford, Mississippi","[31.674883, -88.6461465]","[34.3664951, -89.5192484]",31.674883,-88.6461465,34.3664951,-89.5192484
28,"Starkville, MS ","Oxford, Mississippi","[33.4503998, -88.81838719999999]","[34.3664951, -89.5192484]",33.4503998,-88.8183872,34.3664951,-89.5192484
29,"Oxford, MS ","Oxford, Mississippi","[34.3664951, -89.5192484]","[34.3664951, -89.5192484]",34.3664951,-89.5192484,34.3664951,-89.5192484
30,"Manvel, TX ","Oxford, Mississippi","[29.4627365, -95.35799399999999]","[34.3664951, -89.5192484]",29.4627365,-95.357994,34.3664951,-89.5192484
31,"Manvel, TX ","Oxford, Mississippi","[29.4627365, -95.35799399999999]","[34.3664951, -89.5192484]",29.4627365,-95.357994,34.3664951,-89.5192484
32,"Brentwood, TN ","Oxford, Mississippi","[36.0331164, -86.78277720000001]","[34.3664951, -89.5192484]",36.0331164,-86.7827772,34.3664951,-89.5192484
33,"Viera, FL ","Oxford, Mississippi","[28.2857932, -80.72871769999999]","[34.3664951, -89.5192484]",28.2857932,-80.7287177,34.3664951,-89.5192484
34,"Gordo, AL ","Tuscaloosa, Alabama","[33.3201178, -87.9027962]","[33.2098407, -87.56917349999999]",33.3201178,-87.9027962,33.2098407,-87.5691735
35,"Washington, DC","Tuscaloosa, Alabama","[38.9071923, -77.0368707]","[33.2098407, -87.56917349999999]",38.9071923,-77.0368707,33.2098407,-87.5691735
36,"Folsom, CA ","Tuscaloosa, Alabama","[38.6779591, -121.1760583]","[33.2098407, -87.56917349999999]",38.6779591,-121.1760583,33.2098407,-87.5691735
37,"Montgomery, AL ","Tuscaloosa, Alabama","[32.3668052, -86.2999689]","[33.2098407, -87.56917349999999]",32.3668052,-86.2999689,33.2098407,-87.5691735
38,"Morganton, NC ","Tuscaloosa, Alabama","[35.7454071, -81.6848188]","[33.2098407, -87.56917349999999]",35.7454071,-81.6848188,33.2098407,-87.5691735
39,"Madison, MS ","Tuscaloosa, Alabama","[32.4618086, -90.1153638]","[33.2098407, -87.56917349999999]",32.4618086,-90.1153638,33.2098407,-87.5691735
40,"Meridian, MS ","Tuscaloosa, Alabama","[32.3643098, -88.703656]","[33.2098407, -87.56917349999999]",32.3643098,-88.703656,33.2098407,-87.5691735
41,"Birmingham, AL","Tuscaloosa, Alabama","[33.5206608, -86.80248999999999]","[33.2098407, -87.56917349999999]",33.5206608,-86.80249,33.2098407,-87.5691735
42,"Kentwood, LA ","Tuscaloosa, Alabama","[30.9382358, -90.5089843]","[33.2098407, -87.56917349999999]",30.9382358,-90.5089843,33.2098407,-87.5691735
43,"Sachse, TX ","Tuscaloosa, Alabama","[32.9762327, -96.5952703]","[33.2098407, -87.56917349999999]",32.9762327,-96.5952703,33.2098407,-87.5691735
44,"Gaithersburg, MD ","Tuscaloosa, Alabama","[39.1434406, -77.2013705]","[33.2098407, -87.56917349999999]",39.1434406,-77.2013705,33.2098407,-87.5691735
